id;first_name;last_name;status;email;password;phone;avatar;avatar_content_type;user_id
1;Garnett;Schinner;BLOCKED;Bailey_Beer@gmail.com;Savings Account alarm;097-892-0191;../fake-data/blob/hipster.png;image/png;2
2;Elliott;Monahan;BLOCKED;Greg29@yahoo.com;24/7 Common bluetooth;359.540.8661;../fake-data/blob/hipster.png;image/png;1
3;Aniyah;Ankunding;NON_ACTIVATED;Dariana44@gmail.com;Rubber Buckinghamshire Games;1-321-673-4525 x51098;../fake-data/blob/hipster.png;image/png;2
4;Isom;Weimann;READY;Ashton52@gmail.com;TacticsX;372-585-3926 x52128;../fake-data/blob/hipster.png;image/png;1
5;Araceli;Armstrong;NON_ACTIVATED;Cloyd_Quigley79@hotmail.com;Checking Account Identity deposit;1-886-430-0336 x36756;../fake-data/blob/hipster.png;image/png;1
6;Sherman;MacGyver;READY;Mireille77@hotmail.com;AvonXXXX;1-741-041-2086 x435;../fake-data/blob/hipster.png;image/png;2
7;Maureen;Upton;BLOCKED;Nicolas94@yahoo.com;Money Market Account;(189) 682-6184 x8214;../fake-data/blob/hipster.png;image/png;2
8;Shaun;Lind;READY;Emilio27@yahoo.com;withdrawal;838-301-5544;../fake-data/blob/hipster.png;image/png;1
9;Mathilde;Carter;READY;Enola_Emmerich@gmail.com;facilitate Tasty Concrete Chips Exclusive;(473) 129-0269 x5400;../fake-data/blob/hipster.png;image/png;1
10;Ewell;Upton;BLOCKED;Winona59@yahoo.com;Handmade 24/7 Re-contextualized;346-963-5807 x81351;../fake-data/blob/hipster.png;image/png;2
